"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","age:ch1","breed:ch1","status:ch1"
"GSM2124122","BOXER_BI_175630_JOHNSON_43320","GSM2124122","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 11 or older","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","11 or older","Boxer","DM-unaffected"
"GSM2124123","BOXER_BI_175631_JOHNSON_52772","GSM2124123","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 11 or older","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","11 or older","Boxer","DM-unaffected"
"GSM2124124","BOXER_BI_89209_JOHNSON_55138","GSM2124124","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 13.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","13.0","Boxer","DM-unaffected"
"GSM2124125","BOXER_BI_175632_JOHNSON_60182","GSM2124125","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 11 or older","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","11 or older","Boxer","DM-unaffected"
"GSM2124126","BOXER_BI_175645_JOHNSON_63056","GSM2124126","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 11 or older","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","11 or older","Boxer","DM-unaffected"
"GSM2124127","BOXER_BI_89207_JOHNSON_64026","GSM2124127","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 11.5","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","11.5","Boxer","DM-unaffected"
"GSM2124128","BOXER_BI_175633_JOHNSON_67469","GSM2124128","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 11 or older","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","11 or older","Boxer","DM-unaffected"
"GSM2124129","BOXER_BI_12683_BROAD_12683","GSM2124129","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 13.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","13.0","Boxer","DM-unaffected"
"GSM2124130","BOXER_BI_9282_BROAD_9282","GSM2124130","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 13.0","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","13.0","Boxer","DM-unaffected"
"GSM2124131","BOXER_BI_7291_BROAD_7291","GSM2124131","Public on Jun 01 2016","Apr 14 2016","Jun 01 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Boxer","status: DM-unaffected","age: 13.1","genomic DNA","Qiagen QIAamp DNA blood midi kit","biotin","Canine HD Whole-Genome Genotyping BeadChip using the Infinium HD Ultra Assay","9615","Standard Illumina protocol for Infinium HD Beadchip","Two iScans with dual autoloaders","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Kerstin,,Lindblad-Toh","Vertebrate Genome Biology","Broad Institute","715 Main Street","Cambridge","MA","02142","USA","NONE","173662","13.1","Boxer","DM-unaffected"
