"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","breed:ch1","disease state:ch1","gender:ch1","tissue:ch1"
"GSM1256461","ROTT_BI_10510","GSM1256461","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: male","tissue: blood","disease state: osteosarcoma-free","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma-free","male","blood"
"GSM1256462","ROTT_BI_14574","GSM1256462","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: male","tissue: blood","disease state: osteosarcoma-free","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma-free","male","blood"
"GSM1256463","ROTT_BI_59353","GSM1256463","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: female","tissue: blood","disease state: osteosarcoma","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma","female","blood"
"GSM1256464","ROTT_BI_596","GSM1256464","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: female","tissue: blood","disease state: osteosarcoma-free","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma-free","female","blood"
"GSM1256465","ROTT_BI_597","GSM1256465","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: female","tissue: blood","disease state: osteosarcoma-free","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma-free","female","blood"
"GSM1256466","ROTT_BI_599","GSM1256466","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: female","tissue: blood","disease state: osteosarcoma-free","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma-free","female","blood"
"GSM1256467","ROTT_BI_599.2","GSM1256467","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: female","tissue: blood","disease state: osteosarcoma-free","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma-free","female","blood"
"GSM1256468","ROTT_BI_604","GSM1256468","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: female","tissue: blood","disease state: osteosarcoma-free","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma-free","female","blood"
"GSM1256469","ROTT_BI_604.2","GSM1256469","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: female","tissue: blood","disease state: osteosarcoma-free","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma-free","female","blood"
"GSM1256470","ROTT_BI_605","GSM1256470","Public on Nov 12 2013","Oct 31 2013","Nov 12 2013","genomic","1","blood","Canis lupus familiaris","breed: rottweiler","gender: female","tissue: blood","disease state: osteosarcoma-free","genomic DNA","Genomic DNA was isolated from whole blood (QIAamp DNA Midi kit).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Genomic DNA extracted from blood was genotyped using the Illumina CanineHD Genotyping BeadChip","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Elinor,,Karlsson","elinor@broadinstitute.org","Broad Institute","7 Cambridge Center","Cambridge","MA","02142","USA","NONE","173662","rottweiler","osteosarcoma-free","female","blood"
