"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","platform_id","contact_name","contact_email","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1","origin:ch1","tissue:ch1"
"GSM3502154","SLOU_24408_saliva","GSM3502154","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","saliva","Canis lupus familiaris","origin: USA","breed: Sloughi","tissue: saliva","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 24408","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502154/suppl/GSM3502154_3998887025_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502154/suppl/GSM3502154_3998887025_R06C01_Red.idat.gz","173662","Sloughi","USA","saliva"
"GSM3502155","GREE_26333_muscle","GSM3502155","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","muscle","Canis lupus familiaris","origin: Switzerland","breed: Greenland Dog","tissue: muscle","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 26333","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502155/suppl/GSM3502155_7918068001_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502155/suppl/GSM3502155_7918068001_R01C01_Red.idat.gz","173662","Greenland Dog","Switzerland","muscle"
"GSM3502156","GREE_26334_muscle","GSM3502156","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","muscle","Canis lupus familiaris","origin: Switzerland","breed: Greenland Dog","tissue: muscle","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 26334","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502156/suppl/GSM3502156_9255473005_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502156/suppl/GSM3502156_9255473005_R05C02_Red.idat.gz","173662","Greenland Dog","Switzerland","muscle"
"GSM3502157","GREE_26335_muscle","GSM3502157","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","muscle","Canis lupus familiaris","origin: Switzerland","breed: Greenland Dog","tissue: muscle","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 26335","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502157/suppl/GSM3502157_9255473005_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502157/suppl/GSM3502157_9255473005_R06C02_Red.idat.gz","173662","Greenland Dog","Switzerland","muscle"
"GSM3502158","GORD_26995_saliva","GSM3502158","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","saliva","Canis lupus familiaris","origin: USA","breed: Gordon Setter","tissue: saliva","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 26995","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502158/suppl/GSM3502158_9270665006_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502158/suppl/GSM3502158_9270665006_R03C02_Red.idat.gz","173662","Gordon Setter","USA","saliva"
"GSM3502159","RATT_25647_whole blood","GSM3502159","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","whole blood","Canis lupus familiaris","origin: USA","breed: Rat Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 25647","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502159/suppl/GSM3502159_9270665008_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502159/suppl/GSM3502159_9270665008_R06C01_Red.idat.gz","173662","Rat Terrier","USA","whole blood"
"GSM3502160","RATT_24735_whole blood","GSM3502160","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","whole blood","Canis lupus familiaris","origin: USA","breed: Rat Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 24735","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502160/suppl/GSM3502160_9270665018_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502160/suppl/GSM3502160_9270665018_R06C01_Red.idat.gz","173662","Rat Terrier","USA","whole blood"
"GSM3502161","GORD_28456_saliva","GSM3502161","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","saliva","Canis lupus familiaris","origin: USA","breed: Gordon Setter","tissue: saliva","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 28456","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502161/suppl/GSM3502161_9806219007_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502161/suppl/GSM3502161_9806219007_R03C02_Red.idat.gz","173662","Gordon Setter","USA","saliva"
"GSM3502162","AKBH_15287_whole blood","GSM3502162","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","whole blood","Canis lupus familiaris","origin: USA","breed: Akbash","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 15287","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502162/suppl/GSM3502162_100994160125_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502162/suppl/GSM3502162_100994160125_R01C01_Red.idat.gz","173662","Akbash","USA","whole blood"
"GSM3502163","NGSD_13228_whole blood","GSM3502163","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","whole blood","Canis lupus familiaris","origin: USA","breed: New Guinea Singing Dog","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 13228","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502163/suppl/GSM3502163_100994160125_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502163/suppl/GSM3502163_100994160125_R02C01_Red.idat.gz","173662","New Guinea Singing Dog","USA","whole blood"
"GSM3502164","RTVB_31258_saliva","GSM3502164","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","saliva","Canis lupus familiaris","origin: USA","breed: Russian Tsvetnaya Bolonka","tissue: saliva","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 31258","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502164/suppl/GSM3502164_100994160125_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502164/suppl/GSM3502164_100994160125_R03C01_Red.idat.gz","173662","Russian Tsvetnaya Bolonka","USA","saliva"
"GSM3502165","NGSD_13226_whole blood","GSM3502165","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","whole blood","Canis lupus familiaris","origin: USA","breed: New Guinea Singing Dog","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 13226","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502165/suppl/GSM3502165_100994160125_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502165/suppl/GSM3502165_100994160125_R03C02_Red.idat.gz","173662","New Guinea Singing Dog","USA","whole blood"
"GSM3502166","RTVB_31262_saliva","GSM3502166","Public on Dec 06 2018","Dec 05 2018","Dec 06 2018","genomic","1","saliva","Canis lupus familiaris","origin: USA","breed: Russian Tsvetnaya Bolonka","tissue: saliva","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from saliva using the DNA Genotek saliva collection kit following recommended protocol. DNA was extracted from tissue using the Qiagen DNEasy blood and tissue kits.","CY3 and CY5","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Sample name: 31262","First_half_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502166/suppl/GSM3502166_100994160125_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3502nnn/GSM3502166/suppl/GSM3502166_100994160125_R04C02_Red.idat.gz","173662","Russian Tsvetnaya Bolonka","USA","saliva"
