"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1"
"GSM2400534","27116 ACKR DNA","GSM2400534","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: American Cocker Spaniel","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","ACKR DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400534/suppl/GSM2400534_9270665010_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400534/suppl/GSM2400534_9270665010_R01C02_Red.idat.gz","0","American Cocker Spaniel"
"GSM2400535","9007 ACKR DNA","GSM2400535","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: American Cocker Spaniel","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","ACKR DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400535/suppl/GSM2400535_9806219042_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400535/suppl/GSM2400535_9806219042_R01C01_Red.idat.gz","0","American Cocker Spaniel"
"GSM2400536","12453 ACKR DNA","GSM2400536","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: American Cocker Spaniel","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","ACKR DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400536/suppl/GSM2400536_9806219044_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400536/suppl/GSM2400536_9806219044_R01C02_Red.idat.gz","0","American Cocker Spaniel"
"GSM2400537","9030 ACKR DNA","GSM2400537","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: American Cocker Spaniel","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","ACKR DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400537/suppl/GSM2400537_9806219042_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400537/suppl/GSM2400537_9806219042_R02C01_Red.idat.gz","0","American Cocker Spaniel"
"GSM2400538","9032 ACKR DNA","GSM2400538","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: American Cocker Spaniel","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","ACKR DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400538/suppl/GSM2400538_9806219042_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400538/suppl/GSM2400538_9806219042_R03C01_Red.idat.gz","0","American Cocker Spaniel"
"GSM2400539","9110 ACKR DNA","GSM2400539","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: American Cocker Spaniel","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","ACKR DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400539/suppl/GSM2400539_9806219042_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400539/suppl/GSM2400539_9806219042_R05C01_Red.idat.gz","0","American Cocker Spaniel"
"GSM2400540","12451 ACKR DNA","GSM2400540","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: American Cocker Spaniel","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","ACKR DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400540/suppl/GSM2400540_9806219044_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400540/suppl/GSM2400540_9806219044_R05C01_Red.idat.gz","0","American Cocker Spaniel"
"GSM2400541","9991 ACKR DNA","GSM2400541","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: American Cocker Spaniel","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","ACKR DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400541/suppl/GSM2400541_9806219042_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400541/suppl/GSM2400541_9806219042_R06C01_Red.idat.gz","0","American Cocker Spaniel"
"GSM2400542","12452 ACKR DNA","GSM2400542","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: American Cocker Spaniel","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","ACKR DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400542/suppl/GSM2400542_9806219044_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400542/suppl/GSM2400542_9806219044_R06C01_Red.idat.gz","0","American Cocker Spaniel"
"GSM2400543","27384 AFGH DNA","GSM2400543","Public on Nov 24 2016","Nov 22 2016","Nov 24 2016","genomic","1","whole blood","Canis lupus familiaris","breed: Afghan Hound","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","AFGH DNA","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Dayna,,Dreger","dayna.dreger@nih.gov","NHGRI","National Institutes of Health","50 South Drive","Bethesda","MD","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400543/suppl/GSM2400543_9270664010_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2400nnn/GSM2400543/suppl/GSM2400543_9270664010_R03C01_Red.idat.gz","0","Afghan Hound"
